,flag
西灣河麗濤護老院,nt
為,v
一名,m
獨居,v
沙田,LOC
碩門邨,LOC
瑞碩樓、,nr
 65 歲,nz
本身,r
甲狀腺機,nz
能,v
低下症,nz
高血壓。 1 月 28 日,nz
咳嗽， 1 月 29 日,nz
 2 月 1 日分別,nz
同,a
 2 月 5 日,nz
威爾斯親王醫院,nr
潛伏期,n
內,v
遊，,n
 2 月 5 日下午約 12 時 15 分，,nz
沙田希爾頓中心,ORG
去,v
威爾斯親王醫院，呼籲該名的士司機聯絡衞生防護中心,nt
珠海,LOC
香港北區坑頭雍翠苑,LOC
，並,nr
澳門工作，2 月 4 日,nt
金巴,n
港珠,n
澳大橋,nr
轉乘,v
機場,v
巴士,n
上水,v
居所,n
醫，隨,nr
御龍山,LOC
第 10 座,m
2月,TIME
3 日,m
咳嗽， 2 月 6 日,nz
 1 月 22 日，,nz
寶安國際機場，,nz
河北省,LOC
， 1 月 26 日,nz
廣州，,nz
同日,TIME
澳門，2 月 2 日,nz
澳門,n
乘船,v
港。,n
灣仔駱克道 356 - 362 號鴻福大廈。,nz
 1 月 26 日（農曆年初二）曾與多名親友（合共 19 人）,nt
觀塘永興工業大廈一間派對房間參與聚會，該處,nt
一個,m
露台,n
，他們,nr
燒,v
烤,vn
打,v
邊爐,v
場,ns
 2 名從中國廣東省來港,nz
親友，兩,nr
人均,n
 1 ,nr
月底,TIME
離開,v
後男,n
其他,r
均有,v
肺炎,n
徵狀,v
律敦治醫院,ORG
遊紀,n
錄。,v
 2 月 16 日出院。,nt
牛池灣，,PER
慢性疾病。 1 月 30 日,nz
發,v
冷,a
醫， 2 月 8 日,nr
，報稱潛,nr
伏期間,v
第 #27 宗個案,nz
外婆,n
同住在,v
灣仔駱克道 356 - 362 號鴻福大廈，,nz
患有,v
慢性病,n
錄,v
東區尤德醫院內科,nt
父親，,nz
同住,v
灣仔駱克道 ,nr
356,m
-,w
362,m
號鴻福大廈。,nr
 1 月 26 日農曆年初二曾與多名親友（合共 19 人）,nt
觀塘永興工業大廈一間派對房間參與聚會，有關地點,nt
跟,p
第 44 宗,m
灣仔,nr
一,m
大廈,n
做,v
清潔工。,nz
母親，,nz
表弟,n
禮頓道 ,nr
42,m
56 號禮智,m
 2 月 21 日出院。,nt
四,m
姨，,n
灣仔道 110 號,nz
滙,v
大樓,n
 2 月 23 日出院。,nt
表姐,n
禮頓道 42 - 56 號禮智大廈。,nz
三,m
阿姨,n
禾輋邨泰,nr
樓。,nr
 2 名從,nz
中國,v
廣,v
省,n
來港,n
 1 月 30 日,nz
流鼻水，,v
，後,v
慢性症病，與,nz
（,v
第 #39 宗,m
個案,n
）,n
岳母,n
第 #40 宗,m
西灣河長興大樓,nr
 1 月 30 日開始咳嗽， 2 月 7 日曾看私家醫生， 2 月 9 日因氣,nz
促,v
東區醫院。,nt
時情況,nr
比較,v
差,a
需,v
插喉,v
14,m
 日內,nr
慢性疾病，與丈夫（第 #38 宗個案,nz
母親,n
西灣河長興大樓。,nr
 1 月 31,nz
西灣河,LOC
科,n
門診診,nr
所,u
妹,n
上址與,LOC
三人,n
午膳,n
徵，,nr
檢疫。,nr
健康,a
良好,a
，與女兒（第 #39 宗個案,nz
第 #38 宗,m
 2 月10 日獲,nz
東區醫院,nt
同屬,v
染病,v
「打邊爐家族」，該名 52 歲男,nz
 2 月 9 日確診,nz
 51 歲女,nz
第 #35 宗,m
25 歲,m
第 #34 宗,m
 22 歲,nr
第 #32 宗,m
父親，同居住在禮頓道 42 - 56 號禮智大廈。,nz
 2 月 8 日,nz
、喉,n
口乾， 2 月 9 日,nr
東區尤德,nr
夫人,n
那,r
素醫院， 2 月 10 日,nt
傍晚,TIME
確診。女,nr
青衣長康邨康美樓，,nt
第 #12 宗確診個案,nz
一幢,m
 2 月 3 日出現咳嗽，分別,nz
  ,v
 3 日、5 日、7 日向私家醫生,nz
醫； 2 月 ,nr
 1 月 18 至 19 日,nz
澳門。,ns
為小西灣循道衛理,nr
教,v
會,v
禧恩堂,ORG
傳道者,n
自,p
 2 月 2 日,nz
發燒、咳嗽、氣促,nz
徵狀，,nr
戴口罩,v
上班,vn
間,v
參與,v
一些,m
教會,n
聚會,v
小組。,nr
看,v
私家醫生， 2 月 10 日看東區醫院,nt
醫， 2 月 11 日確診。,nr
外遊,n
史。,PER
其中,r
家庭,n
確診者,n
同事,n
店舖,n
清,a
潔工,n
，當,n
知悉,v
有人,r
確,n
診後， 2 月 10 日與,nz
另,r
律敦治醫院求診， 2 月 11 日確診。,nt
寶林邨， 2 月 5 日出現發燒、咳嗽、氣促,nz
徵狀， 2 月 10 日,nz
醫 。,nr
外遊記錄。,nz
第 #48 宗,m
新年期,n
間與第 #48 及 #49 宗個案,nz
接,v
觸。據報,nr
指,v
田灣邨田澤樓，現於瑪麗醫院留醫，情況,nr
於屯門良田村， 1 月 30 日出現喉嚨痛， 2 月 4 日發冷、咳嗽， 2 月 7 日,nt
發燒，,nr
私家醫生， 2 月 10 日經轉介屯門醫院,nt
之,u
新年,n
第 #42 宗,m
媳,n
婦，,v
第 #42 宗個案,nz
兒子，,nr
第 #37 宗個案,nz
同樣,v
食肆,n
北京,LOC
樓,n
廚房,n
 2 月 3 日發燒， 2 月 10 日入住廣華醫院。（,nt
 2 月 6 至 9 日,nz
仍,d
，並與,nr
共同,ad
進膳,v
。）,v
紫田村,LOC
， 1 月 29 日,nz
，兩日後,nr
痾嘔,nr
 2 月 5 日、8 日看過不同醫生， 2 月 12 日到屯門醫院急症室,nt
 1 月 30 日與 ,nz
12 名,m
共,d
膳,n
姻親為第 #47 宗個案,nz
。無外遊紀錄。,nr
從事保險業，發病後,nz
過 ,v
3 名,m
客戶,n
第 #46 宗,m
小姨,n
，過,nr
平日,t
鰂魚涌,LOC
康景花園，,nz
周末,TIME
則,v
兒子,nr
位於,v
灣仔柯布連道 28 - 32 號香海大廈,nz
寓所,n
， 2 月 1 日,nr
發冷,v
 1 月 31 日、2 月 3 日,nz
 7 日向私家醫生求診， 2 月 12 日到律敦治醫院,nt
第 #52 宗,m
兒子，過,nr
，居,v
香海,n
 2 月 8 日出現發燒，2 月 9 日向私家醫生求診， 2 月 12 日到律敦治醫院,nt
呼吸道,n
樣,v
本,r
證實,v
新型,a
冠狀病毒,nz
，現時情況,nr
第 #53 宗,m
。1 月 26 日,nr
出席,v
北,f
角,n
明星,n
酒家,n
 29 人,nz
石,n
澳大浪灣村,LOC
從事,n
文職,n
徵狀後,nr
葵涌石,n
籬,v
（二）邨，,nr
後情況危殆，,nr
插,v
喉。,n
已知,v
 1 月 22 日,nz
之前,f
曾經,v
過落,v
馬洲,LOC
口岸,n
即日,TIME
 2 月 19 日,nz
上環永樂街，任職上環嘉豪酒家,nt
點心檔。 2 月 12 日氣促發燒， 13 日,nz
 1 月 23 至 28 日,nz
廣東省新會,nr
都,d
沒有病,v
徵。,nz
太古城明宮閣高層，無,ns
 2 月 7 日發燒，,nr
診，之後,nr
徵狀。 2 月 10 日,nz
醫，當時照 X 光片,nz
肺部,n
13 日,m
醫生覆診。 2 月15 日,nz
該院急症室,nt
醫，當時,nr
監察,v
，隨後,nr
初步,d
陽性反應，,nz
進,v
一步,m
檢驗，情況,nr
流鼻水、,v
等,u
病徵，2 月 16 日,nr
東區醫院。2 人病發,nz
前後,v
筲箕,n
一間,m
小型,a
教堂,n
69 歲,m
人士,n
高血壓,nz
糖尿病，與,nz
將軍澳怡明邨怡情樓,nr
 2 月 8 日出現病徵，之後,nz
三次,m
私家醫生,n
 2 月 15 日,nz
過長沙灣門診,nr
就,d
醫，,nr
翌日,t
明愛醫院。,nt
農曆,v
年期,n
曾與,PER
姊妹,n
餘時間,nr
主要,a
留在,v
家中,s
病源,n
，暫時,nr
找到,v
3,m
 月 11 日,nr
腳腫,nr
氣喘,n
所以,c
檢測，,nr
弱,a
陽性，病毒,nz
量,n
很,d
低,a
一星期,TIME
第 #57 宗個案,nz
同為,v
工程,n
師。,v
慈雲山慈愛苑， ,nt
1月底,TIME
越南,LOC
， 2 月 12 日,nz
徵狀，13 日發燒並,nr
醫， 17 日,nr
入,v
伊院,ns
為第 #57 宗個案,nr
太古城明宮閣。自 2 月 8 日,ns
起,v
 2 月 10 日起出現咳嗽，,nz
日向,n
 2 月 16 日獲衞生防護中心,nt
轉介,v
素醫院,n
 2 月 9 日,nz
灣一教會,v
僱,n
主為,v
第 #52 宗確診個案，僱主,nz
曾參與長康邨康美樓,nr
相關,v
北角,ns
海鮮,nr
聚餐,v
本人,r
無參,v
與該,nr
 月 9 日,nr
香港大會堂,ORG
露天地方,n
十多名,m
朋友,n
約 1 小時，當時,nr
各人,r
，無,n
。 第 52 宗個案於 2 月 13 日確診當日，獲,nt
檢查,v
 2 月14 日,nz
凌晨,TIME
，對,v
快速,ad
測試,v
陰性，,nz
 X 光,nr
陰影，2 月 15 日獲,nz
電腦掃描，,nz
問題」，2 月 17 日,nz
重新,d
化,v
驗,v
 2 月 18 日確診。,nz
，獨,nr
觀塘康寧道金僑華廈。,nz
 2 月 11 日起,nz
發冷徵狀,nr
咳嗽，分別,nz
 2 月 11 日,nz
 13 日向,nz
診，2 月 17 日,nz
診並,nr
 1 月 23 日至 2 月 2 日,nz
過中山，,nr
以及,c
 2 月 5 日到過澳門。,nz
屯門海景花園 1 座，,nz
第 #60 宗個案,nz
 2 月 14 日,nz
流鼻水徵,v
狀,v
跌倒,v
骨折,v
屯門醫院,ORG
骨科,n
髖關節手術，,nr
留,v
院期,n
間沒,PER
發燒。醫生,nr
知道,v
，為,v
了,u
病毒測試， 2 月 19 日檢測出對病毒,nz
並確診。,nr
頻繁回,v
莞樟木頭與,PER
期間,v
， 1 月初,nr
過幾次醫生，女兒,nr
1 月 27 日（初三）,nz
1 月 29 日（初五）與,nz
外父,n
面,n
為第 65 宗個案,nr
小西灣邨瑞滿,nr
樓，,v
 2 月 12 日出現咳嗽，2 月 18 日,nz
持續,v
素醫院並,nr
他們,v
。他們,nr
徵，將,nr
第 #64 宗個案,nz
 2 月 12 日,nz
， 2 月 18 日,nz
第 #63 宗個案,nz
 1 月 25 日,nz
咳,v
氣喘，1 月 31 日、2 月4 日,nz
 7 日,nr
多次,m
廣東東莞樟木頭與朋友會面，惟據報,nz
友人,n
每日,TIME
上午,TIME
 9 至 10 時均會光顧三聖海天花園酒家。,nt
 1 月 27 日與妻子、女兒（第 #60 宗個案,nz
第 #57 宗,m
）進餐,v
接送,v
康和護,PER
老中心,n
並無,nr
進入,v
 2 月 20 日呼吸道樣本測試結果為陰性，,nz
胸腔電腦掃描,nz
顯示,v
毛,n
玻璃,n
不可,v
排除,v
流行病,n
學關,n
連,v
 2 月 23 日正式確診。,nz
與丈夫,nr
秀茂坪,nr
曉,v
暉,v
閣曉麗苑,nr
 2 月 10 日,nz
 14 日,nr
醫。  ,nr
油塘大本營一粥麵任職收銀員，,nz
一直,d
後來,v
醫院確診。,nt
元朗新田石湖圍。,nz
市,n
區的士,n
司機,n
駕駛,v
車牌號碼為 JW9897 ，,nz
日期,n
為 2 月 ,nr
16,m
 2 月 8 日起,nz
 17 日向,nz
 2 月 18 日,nz
醫，19 日,nr
昏厥,vn
該院接受治療。,nz
病徵。,nz
油塘油美苑潤美閣紀律部隊宿舍，駐守北角警署。 2 月 18 日起,nt
，雖然,nr
當日並無,nr
晚上,TIME
時,v
西環,PER
海鮮燒鵝專門店,nt
外母,n
均,d
有心,v
臟長期,n
，與兒子、媳婦、孫女,nr
同居,v
天后,n
廟道飛龍台。 2 月 13 日咳嗽,nz
發燒，之後,nr
未曾,d
出外,v
感到,v
氣促,n
適，,v
東區醫院檢驗後確診。與第 #65 宗個案,nt
北角書局街美輪大廈內一間名為「福慧精舍」,nt
佛堂,n
鑽石,n
公主,n
號」郵輪,nr
火炭駿洋邨,LOC
。 2 月 22 日,nz
伊利沙伯醫院。 2 月 23 日確診。,nt
、兒子,nr
藍田興田邨彩田樓，,nt
自己,r
地方,n
任職保安,PER
 2 月 10 日起發病，20 日經救護車,nz
 14 日內無,nz
柴灣興華（二）邨展興樓， 2 月 8 日起,nz
常,d
美輪,n
， 1 月 25 日,nz
時間較長,nr
無,v
外遊紀錄。患者與丈夫（第 #89 宗個案,nz
大廈，,nr
也,d
北角福慧精舍（即第 #70 宗個案,nt
），據報,nr
每天,TIME
早上,TIME
「幾,nr
分鐘,v
」,v
 2 月 13 日因肌肉痛，,nz
私家醫,n
診， 2 月 ,nr
東區醫院， 2 月 23 日確診。,nt
元朗 Grand Yoho ,ns
第三座,m
生意,n
2月初,TIME
內地， 2 月 9 日,nr
博愛醫院取深喉樣本。,nt
家庭主,n
大潭紅山,LOC
半島,n
第一期,m
， 2 月 8 日,nz
 10 日分別,nz
徵狀，數次,nr
養,n
醫院門診,nr
看病,v
過一、兩晚醫院。 2 月 23 日,nt
訪養,n
醫院時，院方通知衞生防護中心,nt
律敦,PER
潛伏期間，,nr
 1 月 26 日至 31,nz
訪,n
大阪,LOC
 1 月 25 日、2 月 1 日至 6 日到訪「福慧精舍」。,nz
麗宮,v
咳嗽症,n
狀，,v
 22 日晚,nr
醫生，,nr
瑪麗醫院,nr
 2 月 1 日至 6 日、8 日,nt
在家,vn
北角春秧街街市,LOC
號」,nr
乘客,n
 1 月 25 日 至 2 月 21 日,nz
郵輪，,nr
包機,v
 2 月 22 日返港。樣本經化驗後初步對病毒,nz
，故,n
 2 月 23 日,nz
。經,v
檢驗，,nr
 2 月 24 日確診。,nz
頭痛,nr
同遊,n
妹妹,n
姪女,n
病徵，,nr
正,d
 2 月 4 日喉嚨,nt
5 名,m
同行者,n
當中,v
 1 人出現病徵，,nz
昨日,TIME
基督教,ORG
餘,v
治療。經進一步檢驗，,nz
第 #76 宗,m
，與丈夫（第 #112 宗個案,nz
兒子（第 #84 宗個案,nz
百福,n
花園,n
康福閣,PER
 2 月 17 日出現咳嗽，2 月 24 日,nz
二月,TIME
訪位,n
内,f
「福慧精舍」佛堂，並與其姊姊（第 #76 宗個案,nt
）會,v
。與,nr
第 #72 宗,m
兒子，與,nr
父母,n
 2 月 20 日出現發燒， 2 月 22 日向私家醫生求醫，2 月 24 日出現咳嗽。2 月 24 日,nz
中心,n
進行,v
學,v
調查期,n
間轉介,nr
第 #112 及 #83 宗個案,nz
百福花園康福閣。,nz
不曾,d
訪「福慧精舍」佛堂,nt
大坑,n
道 ,v
113 號,m
瑞士,LOC
四座,m
 2 月 12 日 ,nz
徵狀，並,nr
數次,m
 2 月 24 日,nz
醫院，於 2 月 25 日轉往瑪麗醫院,nt
兩,n
名家,n
傭,v
。兩名家傭（第 #90 及 #113 宗個案,nz
 2 月 26 日,nz
 3 月 8 日確診,nr
，與,nz
北角英皇道 560 號健威花園 B 座，,nt
 6 時至 8 時,nz
「福慧,PER
精舍,n
當義工負責清潔，,nr
一日,TIME
佛堂為 2 月 22 日。2 月 18 日起,nt
帶,v
喉嚨痛徵狀,nz
22 日起,m
病徵，將,nr
第 88 宗,m
姊姊,n
 1 月 25 日至 2 月 22 日,nz
郵輪，並,nr
第三,m
班包,n
機,n
 2 月 23 日返港。,nz
姊弟,n
倆樣,v
經化,v
驗後,v
病毒,n
 2 月 25 日,nz
駿洋邨檢疫中心,ORG
治療， 2 月 26 日確診。,nz
曾發,PER
兩人,n
親人，,nr
外祖父,n
確診並,nr
正在,d
當地,n
正於,v
第 #87 宗,m
弟弟,n
 2 月 17 日起間歇,nz
流鼻,vn
水徵,PER
第 74 宗,m
北角書局街 1-25 號美輪大廈。,nt
25 日,m
咳嗽，,nz
治療,vn
病徵,n
東區,v
尤德,PER
孫女,n
家傭則,nr
 3 月 13 日去世。,nz
第 #85 宗個案,nz
傭工,n
道 113 號瑞士花園四座。,nz
 2 月 16 日出現發燒，,nz
灣仔購物，並,nr
 2 月 20 及 24 ,nz
醫，2 月 25 日獲,nr
僱主,n
第 #76 宗個案,nz
兒子，與母親,nr
 2 月 20 日發燒,nz
咳嗽， 21 日到養,nz
醫院門診部,nt
 2 月 24 日確診後，,nz
律敦治醫院急症室,nt
訪北角「福慧精舍」佛堂,nt
1 ,m
旅遊，潛伏期內則,nz
父親、,nz
二哥,n
家傭,nr
將軍澳寶盈花園，,nz
 1 月 24、25 日、2 月 1 至 8 日,nz
 9 ,nr
中午,TIME
12 時,m
過「福慧,nr
 2 月 13 日,nz
痰，,n
醫，直至 2 月 23 日,nr
好轉,v
得知,v
「福慧精舍」佛堂有確診個案後，致電衛生防護中心,nt
熱線,v
媳婦（第 #95 宗個案,nz
 2 月 29 日確診。,nz
孫兒,nr
，獨居,v
北角錦屏街,LOC
40,m
78 號鴻福大樓。,nt
 2 月 25 日出現間歇咳嗽，2 月 26 日,nz
柏立基,PER
醫，2 月 ,nr
27 日,t
深喉,v
唾液,n
樣本,n
，獲,nr
 2 月 1 日至 12 ,nz
 1 月 25 日至 2 月 19 日,nz
首,m
 2 月 20 日抵港。,nz
 2 月 27 日經化驗後,nz
瑪麗醫院，,nr
今日,TIME
確診,n
姐夫,n
第 #92 宗,m
、居,v
將軍澳寶盈花園 4 座 70 歲老婦,nz
婦。,v
過北角福慧精舍佛堂，,nz
奶奶,n
善信,n
 1 月下旬,nz
 2 月,nr
上旬,TIME
過佛堂，,nr
相信,v
傳給媳婦。,nr
周四,TIME
確診後，,nr
營，,nr
故此,d
營轉,v
北角「福慧精舍」佛堂有關，曾為佛堂,nt
義工,n
準備,v
食物,n
第 #92 宗個案,nz
（ ,v
70 歲,m
吃,v
飯，,nr
身體,n
過觀塘,nr
看中,v
致,v
電熱線，獲,nr
檢查後,nr
確診。,nr
， 2 月 16 日至 17 日曾經發燒， 2 月 27 日咳嗽，港大為,nz
血清,n
抗體測試，,nr
抗體，,nr
懷疑,v
，之後,PER
可能,n
康復,PER
，故列,v
此,r
 3 月 2 日更新為確診個案。（衛生防護中心,nt
 4 月 9 日,nr
更新,v
為 2 月 15 日，,nr
公佈,v
關病,n
徵。）,nr
郵輪「鑽石公主號」,nz
第 2 班,m
港府,n
駿洋邨,PER
檢疫中心與,nt
徵，港大 2 月 29 日為,nr
抗,v
體測試，,nr
康復，故列懷疑個案，留醫待進一步調查。,nz
糖尿病,n
元州邨元樂樓。 2 月 28 日,nt
氣喘，,nr
適後,v
送,v
明愛醫院檢,nt
查,v
報稱沒外遊紀錄，平時,nz
元州街,LOC
公園,n
保安,n
道街市,LOC
 3 月 8 日去世。,nz
第 #99 宗個案,nz
也是,v
， 2 月 27 日,nr
。 2 月 28 日咳嗽，,nz
子女,n
見,v
病情,n
沒,v
好,a
轉，,n
明愛醫院急症室,nt
診，其後確診， X 光片,nz
跡象,n
第 85 宗,m
哥哥,n
大坑道,LOC
 8 號,nr
列作,v
密切,a
檢疫中心,nt
深喉唾液樣本對病毒,nz
 2 月 22 日,nz
婚宴,n
徵，現正,nr
北角佛堂住持。衞生署 2 月 23 日,nt
佛堂時，該男子無病徵，之後,nz
檢疫中心。 2 月 28 日檢測呈陰性， 3 月 3 日覆驗為陽性， 3 月 4 日,nt
醫院進一步化驗確診。,nz
測試。,nr
僧侶，,nr
福慧,n
董事,n
小股東，獨居於福慧精舍。他 1 月 4 至 5 日,nz
廈門，,nr
四川,LOC
峨嵋山,LOC
返港後 14 日無病徵,nz
無發,v
第 76 宗及第 91 宗,nt
傭工，,nr
無出現,v
檢疫中心， 3 月 3 日深喉樣本,nt
確定,v
，轉介,v
瑪麗醫院再作檢測，3 月 4 日確診。,nt
 3 月 2 日確診第 101 宗個案 63 歲男,nz
第 108 宗,m
跑馬,v
樂陶苑維勝閣。 ,nr
 1 月 31 日至 2 月 24 日,nz
訪印度,LOC
 23 日時,nr
肚,n
瀉,v
，返港後,nr
 28 日,nr
更,d
曾兩度,PER
診， 3 月 3 日,nr
貝,v
 2 月 24 日乘坐國泰航空 CX694，,nt
印度,LOC
新德里,LOC
返港,v
印裔,n
商人,n
半山寶珊道 14-16 號寶城大廈 A 座,nt
 3 月 4 日,nz
、頭,v
痛徵狀， 3 月 5 日向嘉諾撒醫院,nt
 2 月 2 日至 20 日,nz
訪美國,PER
墨西哥,LOC
 2 月 25 日至 3 月 3 日,nz
訪倫敦,PER
巴黎,LOC
 3 月 2 日出現發燒，現時留院律敦治醫院,nt
陰性,n
 3 月 3 日,nz
英國航空 BA323（商務艙）,nz
倫敦，並,nr
倫敦,PER
英國航空 BA27（商務艙）於 3 月 4 日抵港,nt
司機（第 116 宗,nt
 3 月 9 日確診。患者與第 105 宗,nt
參加,v
旅行,vn
團。,n
旅遊。,nz
，2 月 28 日,nz
大學,v
醫療,n
保健,v
處,v
醫。3 月 5 日衞生防護中心,nt
追蹤,v
時將,nz
 3 月 6 日證實對病毒,nz
印度新德里,LOC
